[ELEVATOR] Elevator Command Manager initialized
=== AOA Controller CSV Simulation (Safe Mode) ===
idx,ts,mode,s1,s2,s3,aoa,fsm_state,elevator
176,4500,LANDING,11.30,10.82,11.45,11.19,0,0.00
177,4520,LANDING,10.72,10.78,11.05,10.85,0,0.00
178,4540,LANDING,10.88,11.44,11.56,11.29,0,0.00
179,4560,LANDING,10.88,11.06,11.46,11.13,0,0.00
180,4580,LANDING,11.64,17.69,11.82,13.72,0,0.00
181,4600,LANDING,11.47,11.13,11.52,11.37,0,0.00
182,4620,LANDING,11.42,11.25,0.00,7.56,0,0.00
183,4640,LANDING,11.99,11.64,11.11,11.58,0,0.00
184,4660,LANDING,11.48,11.40,11.61,11.50,0,0.00
185,4680,LANDING,11.75,11.44,11.53,11.57,0,0.00
186,4700,LANDING,11.38,12.57,12.30,12.08,0,0.00
187,4720,LANDING,11.83,11.69,12.23,11.92,0,0.00
188,4740,LANDING,0.00,12.66,11.80,8.15,0,0.00
189,4760,LANDING,13.14,12.15,12.57,12.62,0,0.00
190,4780,LANDING,12.05,11.93,12.78,12.25,0,0.00
191,4800,LANDING,12.93,11.96,13.12,12.67,0,0.00
192,4820,LANDING,16.89,16.96,17.26,17.04,3,-0.20
193,4840,LANDING,17.64,0.00,17.49,11.71,0,0.00
194,4860,LANDING,17.75,16.85,17.52,17.37,3,-0.20
195,4880,LANDING,16.77,17.23,16.99,17.00,3,-0.40
196,4900,LANDING,17.13,17.52,16.60,17.08,3,-0.60
197,4920,LANDING,17.77,17.35,16.58,17.23,3,-0.80
198,4940,LANDING,17.44,17.94,0.00,11.79,0,-0.60
199,4960,LANDING,18.92,19.16,19.11,19.06,3,-0.80
200,4980,LANDING,18.27,18.72,18.52,18.50,3,-1.00

=== Complete (200 rows) ===
